date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:32	150054/150054	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Sep%202024%2022:45:31%20GMT	https://slyesn.wordpress.com/	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/index.html	(from )
18:45:32	343/343	---MCZ	200	added ('OK')	text/plain	date:Thu,%2005%20Sep%202024%2022:45:31%20GMT	https://slyesn.wordpress.com/robots.txt		(from )
18:45:33	855/855	---MCZ	200	added ('OK')	text/xml	date:Thu,%2005%20Sep%202024%2022:45:32%20GMT	https://slyesn.wordpress.com/xmlrpc.php?rsd	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/xmlrpc0db0.php	(from https://slyesn.wordpress.com/)
18:45:34	1447/1447	---MCZ	200	added ('OK')	application/xml	date:Thu,%2005%20Sep%202024%2022:45:33%20GMT	https://slyesn.wordpress.com/osd.xml	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/osd.xml	(from https://slyesn.wordpress.com/)
18:45:34	46199/46199	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2005%20Sep%202024%2022:45:34%20GMT	https://slyesn.wordpress.com/feed/	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/feed/index.html	(from https://slyesn.wordpress.com/)
18:45:34	846/846	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22bc5a406629af3ed084e0143effeb72ee%22	https://slyesn.wordpress.com/comments/feed/	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/comments/feed/index.html	(from https://slyesn.wordpress.com/)
18:45:34	793/793	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Feb%202019%2015:31:59%20GMT	https://slyesn.wordpress.com/wp-content/uploads/2019/02/cropped-50663847_604785506620357_4668497161464315904_n.jpg?w=32	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/wp-content/uploads/2019/02/cropped-50663847_604785506620357_4668497161464315904_n76ca.jpg	(from https://slyesn.wordpress.com/)
18:45:35	2711/2711	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Feb%202019%2015:31:59%20GMT	https://slyesn.wordpress.com/wp-content/uploads/2019/02/cropped-50663847_604785506620357_4668497161464315904_n.jpg?w=192	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/wp-content/uploads/2019/02/cropped-50663847_604785506620357_4668497161464315904_n9939.jpg	(from https://slyesn.wordpress.com/)
18:45:36	2616/2616	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Feb%202019%2015:31:59%20GMT	https://slyesn.wordpress.com/wp-content/uploads/2019/02/cropped-50663847_604785506620357_4668497161464315904_n.jpg?w=180	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/wp-content/uploads/2019/02/cropped-50663847_604785506620357_4668497161464315904_nad83.jpg	(from https://slyesn.wordpress.com/)
18:45:37	11450/11450	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Feb%202019%2015:30:29%20GMT	https://slyesn.wordpress.com/wp-content/uploads/2019/02/50663847_604785506620357_4668497161464315904_n.jpg	~/Users/hsinyulin/Desktop/Wordpress/slyesn.wordpress.com/wp-content/uploads/2019/02/50663847_604785506620357_4668497161464315904_n.jpg	(from https://slyesn.wordpress.com/)
